,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
134992,A.J. Griffin,CU,0.18919168591224056,0.3833718244803695,0.3279445727482679,0.13163972286374134,0.15704387990762125,433.0,0.17778582610313318,Curveball
135008,A.J. Griffin,CH,0.06985365853658541,0.3902439024390244,0.23414634146341465,0.15121951219512195,0.22439024390243903,205.0,0.12765397399004674,Changeup
135225,A.J. Griffin,FC,0.07472972972972988,0.4189189189189189,0.2702702702702703,0.14864864864864866,0.16216216216216217,74.0,0.1565383301837312,Cutter
136529,Luke Farrell,FF,0.16551948051948043,0.3961038961038961,0.24675324675324675,0.22727272727272727,0.12987012987012986,154.0,0.1603646846323446,Four-seam Fastball
136530,Luke Farrell,CH,0.05000000000000006,0.5,0.25,0.075,0.175,40.0,0.12765397399004674,Changeup
136537,Luke Farrell,SL,0.2685897435897437,0.28205128205128205,0.3974358974358974,0.10256410256410256,0.21794871794871795,78.0,0.20810453817692648,Slider
136570,Luke Farrell,FT,0.1561403508771931,0.3157894736842105,0.2807017543859649,0.21052631578947367,0.19298245614035087,57.0,0.09296613721316117,Two-seam Fastball
136576,Luke Farrell,CU,0.10500000000000007,0.45,0.3,0.1,0.15,20.0,0.17778582610313318,Curveball
136878,Sam Dyson,CH,0.051489361702127694,0.39361702127659576,0.2127659574468085,0.17553191489361702,0.21808510638297873,188.0,0.12765397399004674,Changeup
136880,Sam Dyson,SL,0.19957547169811304,0.37735849056603776,0.29245283018867924,0.1792452830188679,0.1509433962264151,212.0,0.20810453817692648,Slider
136882,Sam Dyson,FT,0.04569343065693418,0.35766423357664234,0.24817518248175183,0.15328467153284672,0.24087591240875914,548.0,0.09296613721316117,Two-seam Fastball
136885,Sam Dyson,CU,0.06541666666666672,0.4791666666666667,0.22916666666666666,0.16666666666666666,0.125,48.0,0.17778582610313318,Curveball
136896,Sam Dyson,FF,0.08904255319148914,0.3882978723404255,0.2712765957446808,0.14893617021276595,0.19148936170212766,188.0,0.1603646846323446,Four-seam Fastball
138062,Alex Claudio,SI,0.09941475826972039,0.2951653944020356,0.26717557251908397,0.18575063613231552,0.25190839694656486,786.0,0.11394481591195386,Sinker
138066,Alex Claudio,CH,0.16836104513064137,0.32066508313539194,0.31116389548693585,0.14251781472684086,0.22565320665083136,421.0,0.12765397399004674,Changeup
138068,Alex Claudio,CU,0.028571428571428574,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.2857142857142857,14.0,0.17778582610313318,Curveball
138149,Alex Claudio,SL,0.2240909090909091,0.38636363636363635,0.32954545454545453,0.1590909090909091,0.125,176.0,0.20810453817692648,Slider
139461,Anthony Bass,CH,0.265,0.3125,0.375,0.09375,0.21875,32.0,0.12765397399004674,Changeup
139462,Anthony Bass,FF,0.051698113207547275,0.33962264150943394,0.22641509433962265,0.16981132075471697,0.2641509433962264,53.0,0.1603646846323446,Four-seam Fastball
139464,Anthony Bass,FT,0.09536585365853674,0.2804878048780488,0.2804878048780488,0.17073170731707318,0.2682926829268293,82.0,0.09296613721316117,Two-seam Fastball
139465,Anthony Bass,SL,0.14400000000000013,0.4222222222222222,0.3333333333333333,0.06666666666666667,0.17777777777777778,45.0,0.20810453817692648,Slider
139584,Anthony Bass,FS,-0.017272727272727273,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,22.0,0.16232061961128993,Sinking Fastball
139697,Eric Stout,FF,0.17160714285714293,0.25,0.30357142857142855,0.19642857142857142,0.25,56.0,0.1603646846323446,Four-seam Fastball
139700,Eric Stout,SL,0.3425641025641025,0.38461538461538464,0.41025641025641024,0.10256410256410256,0.10256410256410256,39.0,0.20810453817692648,Slider
139706,Eric Stout,CH,-0.046153846153846136,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.23076923076923078,13.0,0.12765397399004674,Changeup
139728,Eric Stout,FT,0.16153846153846158,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.15384615384615385,13.0,0.09296613721316117,Two-seam Fastball
